"ID","A_WT","B_WT","C_WT","D_WT","A_KO1","B_KO1","C_KO1","D_KO1","padj","log2FoldChange","pvalue","foldChange","log10padj"
"HERC5",98.9725727952674,84.2081384289593,80.1051810066165,90.823750587031,260.543905303396,130.42764800056,128.215935810036,133.516940183874,0.0625461227429492,0.880066706219387,0.00192928741259614,1.84046039706925,1.2037996072101
"MACC1",5.32110606426169,10.6592580289822,78.2636825926713,10.6283112389079,8.86957975500924,22.5198816691614,36.633124517153,55.037517327704,0.965162638129772,0.227512331574686,0.795593502469069,1.17081434863768,0.0153994981682752
"ZFYVE21",510.826182169122,518.039940208535,553.370273390535,530.449351832766,548.805247341196,558.305399714627,552.244352096082,581.970785076277,0.74849084314717,0.0843526571373483,0.261238880832421,1.06021191342399,0.125813508340276
"AK7",29.7981939598655,38.3733289043359,52.4827047974384,35.7497741672356,15.5217645712662,22.5198816691614,32.0539839525089,26.4995453800056,0.407453240320409,-0.69172376233144,0.0510370490494459,0.619113677847276,0.389922224067634
"AIFM1",797.101688426401,777.059910312802,963.103670493343,944.953490150174,932.414571745346,865.138787456951,935.976331413259,970.291046221744,0.827941089125325,0.0878164242637397,0.385219615639984,1.06276043479867,0.0820005636716326
"VSIG10L",192.624039526273,214.251086382542,160.210362013233,172.95161016041,192.913359671451,215.815532662797,220.714575215847,208.938723188506,0.673048307738444,0.184002329036703,0.190763756648836,1.1360310987543,0.171953763366938
"FAM83D",509.76196095627,594.786598017206,528.510044802274,600.98269005461,967.892890765383,778.812574391832,659.396241308754,599.297410901665,0.167974357539364,0.427244755847538,0.00914254628451865,1.34466309935253,0.774757011304711
"PRPSAP2",2112.47910751189,1947.44644189505,1710.7520265551,1857.055836471,1981.24237777519,1991.13287091502,1940.63977129618,1867.19873600655,0.94443622299721,0.0290950001287921,0.715037761242898,1.02037184757496,0.0248273643017821
"LOC100506302",83.0092546024824,62.8896223709949,81.0259302135891,75.3643887849832,52.1087810606793,68.4979734103659,54.0338586628007,68.2872900177068,0.614821352360328,-0.315151967428635,0.144242878062808,0.803766320919685,0.211251058135146
"VGF",2012.44231350377,1524.27389814445,1260.50566434549,2655.14538950172,2333.80817303681,2231.34494205274,2171.42845575424,2531.72579707438,0.597111865746056,0.314590413526726,0.135187438320575,1.24365852390562,0.223944298476848
"SSSCA1-AS1",34.0550788112748,26.6481450724555,46.0374603486302,28.9863033788397,23.2826468568992,36.5948077123873,20.1482184844342,35.6724649346229,0.884714352750186,-0.232977178718839,0.515759175507173,0.850877189006595,0.0531969270976545
"VPS11",1040.80834616959,1025.42062238809,842.485524379932,1029.01376994881,972.327680642887,1054.68112483906,907.585659912466,935.637794570967,0.968256229850598,-0.0242953878169737,0.807098176570015,0.983300725311926,0.0140097000418187
"CECR6",3647.08609644496,3140.21741533815,2300.95226822454,2946.94084351537,3317.22282837345,3378.92057877709,2827.16138461128,2704.99205532827,0.977755697838271,0.0231272624660983,0.876707703241314,1.01615977613989,0.0097696445320477
"HAS3",168.146951630669,196.130347733272,299.243492266096,368.126052911264,134.152393794515,211.123890648388,474.398962497131,509.606641923185,0.831718625428535,0.365601693332417,0.394022715321483,1.28841886806867,0.0800235728580055
"C9orf69",708.771327759657,580.92956257953,852.613765656631,816.447545170651,663.00108668694,711.252929384348,860.878426153096,787.851868413244,0.971926858501446,0.0306996058066706,0.836709666706962,1.02150736497378,0.0123664162922561
"LMCD1-AS1",10.6422121285234,22.3844418608626,41.4337143137671,26.0876730409557,11.0869746937615,12.1982692374624,28.3906715007936,40.7685313538548,0.971750896630987,-0.123910428400115,0.834516654010962,0.917696856946805,0.0124450499745861
"JAG2",2033.72673776082,2130.78567999354,1800.98544883841,1665.74623417065,1924.698806837,2149.71037100203,1932.39731827982,1660.29843938574,0.990949869921822,0.0072287254207703,0.949611272626511,1.00502314454558,0.00394831500715758
"ZNF627",2309.36003188957,2051.90717057907,1719.03876941785,1972.03483987373,2324.9385932818,2400.24405457145,2042.29669183128,1825.41099136885,0.859150412223342,0.0939754086515356,0.45342585059443,1.06730714518224,0.0659307971929961
"CASK",5837.25335249507,6054.45856046189,5299.8324353343,6004.02963987033,6682.11964793008,7123.78923467806,7323.87741909181,7260.87543412154,0.000474913608094257,0.291820471179706,5.65080858053177e-06,1.22418404558654,3.32338538603901
"OXCT1",2059.26804686927,1854.7108970429,2088.25920141386,1952.71063762117,1967.93800814267,2099.04063724642,2285.90696987035,2274.8840495451,0.586122670079757,0.117305844401897,0.128548605307939,1.08470733720282,0.232011480631454
"FAU",95.7799091567104,85.2740642318576,93.9164191112055,124.641104529011,119.739326692625,117.291050360216,151.111638633256,150.843566009263,0.308001498411938,0.43106215232456,0.0287013289654707,1.34822581300924,0.511447170673408
"GSPT2",1178.09288262754,1096.83765118227,911.541714902877,1171.04665650512,1178.54540994685,1158.83557755893,1108.15201664388,1171.07606313948,0.833637189434768,0.0837036688883866,0.398127861080548,1.05973509031459,0.0790229192772293
"IRS1",564.037242811739,540.424382069397,789.082070375521,712.096853006828,801.58827035896,859.50881703966,808.676223716153,1003.92508458867,0.138239098768555,0.413828622995479,0.00648107518153145,1.33221656236956,0.859369106181149
"MTHFS",103.229457646677,89.5377674434504,152.844368357452,121.742474191127,118.630629223249,124.797677583269,149.279982407399,141.670646454645,0.815200672352881,0.190966589070388,0.367483438112515,1.14152827051942,0.0887354708085168
"ZNF839",528.917942787612,529.765124040415,489.838578109425,471.510534962459,501.131256158022,477.609157066798,419.449275721402,404.627673687009,0.579497824934604,-0.164285033817258,0.124905008720447,0.892370648041306,0.236948189761942
"BCAP29",1603.78136776847,1671.37165894441,1403.22179142625,1491.82841389762,1431.32843296462,1310.84477882577,1345.35149789244,1229.17122031872,0.196604798706801,-0.214493141590353,0.0119886625467264,0.861848897728114,0.706405886165887
"PDCD6IP",3340.59038714349,3688.10327802784,3535.6769547748,3499.61302793858,3295.04887898593,3335.75747224453,3226.46244184825,3403.15315476303,0.525772529130342,-0.0849674541342435,0.0918042501903032,0.942805804505276,0.279202108908193
"SNHG7",594.899657984457,495.655498347672,429.989879656206,499.530628228671,585.39226383061,541.415488462755,545.83355530558,518.779561477802,0.786805724953483,0.11827229377132,0.31956051978579,1.08543421703494,0.104132488728983
"IFT52",2138.02041662035,2065.76420601675,1677.60505510408,2105.37183541639,1986.78586512207,1981.7495868862,1977.27289581333,1847.83368361347,0.942503806484029,-0.0349058643547411,0.708762581054324,0.976095448786936,0.0257168871363116
"TERF2",1443.08396462777,1397.42872759957,1210.78520716897,1427.09233635154,1394.7414164752,1441.27242682633,1337.10904487608,1370.84186677337,0.970499867751804,0.0176836200964785,0.821629924418133,1.01233278061615,0.0130045194561086
"RDM1",12.7706545542281,24.516293466659,63.5316952811096,17.3917820273038,25.5000417956516,21.5815532662797,31.1381558395801,27.518758663852,0.953856557964845,-0.165898589673142,0.760693680967993,0.89137315034786,0.0205169300843578
